song_id,song,artist,reentry_date,previous_rank,reentry_rank,rank_jump,previous_popularity,reentry_popularity,popularity_change,popularity_change_rate,peak_rank_after_reentry,peak_date,peak_improvement,retention_days,rank_recovery_speed,rank_volatility,momentum_score
Elevator - Lim Young Woong,Elevator,Lim Young Woong,2024-11-18,50,49,1,55,55,0,0.0,48,2024-11-19,1,21,1.0,0.82915619758885,0.75
Little Light - DOYOUNG,Little Light,DOYOUNG,2025-05-01,40,43,-3,67,69,2,2.9850746268656714,43,2025-05-01,0,4,0.0,2.0548046676563256,0.7462686567164178
3D (feat. Jack Harlow) - Jung Kook,3D (feat. Jack Harlow),Jung Kook,2025-03-15,5,6,-1,83,83,0,0.0,4,2025-03-17,2,258,1.0,1.6657824136609496,0.7
Cosmic - Red Velvet,Cosmic,Red Velvet,2025-07-12,31,31,0,72,72,0,0.0,29,2025-07-14,2,10,1.0,2.9228769862146455,0.7
Supernova - aespa,Supernova,aespa,2025-07-12,13,13,0,75,75,0,0.0,11,2025-07-14,2,139,1.0,2.3718792098585397,0.7
Small girl (feat. D.O.) - Lee Young Ji,Small girl (feat. D.O.),Lee Young Ji,2025-07-12,10,11,-1,75,76,1,1.3333333333333335,10,2025-07-14,1,82,0.5,3.2013789485278545,0.6833333333333333
Midas Touch - KISS OF LIFE,Midas Touch,KISS OF LIFE,2025-06-29,49,50,-1,75,77,2,2.666666666666667,50,2025-06-29,0,1,0.0,0.0,0.6666666666666667
Seven (feat. Latto) (Band Ver.) - Jung Kook & Latto,Seven (feat. Latto) (Band Ver.),Jung Kook & Latto,2024-07-27,16,34,-18,75,77,2,2.666666666666667,34,2024-07-27,0,10,0.0,2.756809750418044,0.6666666666666667
踊り子 - Vaundy,踊り子,Vaundy,2025-07-12,22,21,1,69,70,1,1.4492753623188406,21,2025-07-12,0,77,0.0,2.6354113781191133,0.6623188405797101
MILLION DOLLAR BABY - Tommy Richman,MILLION DOLLAR BABY,Tommy Richman,2025-07-12,25,24,1,94,94,0,0.0,23,2025-07-14,1,58,0.5,2.291213011588377,0.65
Right Now - NewJeans,Right Now,NewJeans,2025-07-12,16,17,-1,76,77,1,1.3157894736842104,16,2025-07-15,1,39,0.3333333333333333,2.692955396125654,0.6456140350877193
You & Me - JENNIE,You & Me,JENNIE,2025-01-04,48,47,1,78,79,1,1.282051282051282,47,2025-01-04,0,10,0.0,1.2,0.6205128205128205
"yes, and? - Ariana Grande","yes, and?",Ariana Grande,2025-03-15,25,29,-4,81,83,2,2.4691358024691357,29,2025-03-15,0,5,0.0,2.9154759474226504,0.6172839506172839
Closer to You (feat. Major Lazer) - Jung Kook,Closer to You (feat. Major Lazer),Jung Kook,2025-06-08,50,48,2,79,75,-4,-5.063291139240507,48,2025-06-08,0,1,0.0,0.0,0.6
Bubble Gum - NewJeans,Bubble Gum,NewJeans,2025-10-06,50,48,2,75,75,0,0.0,48,2025-10-06,0,9,0.0,0.0,0.6
T.B.H - QWER,T.B.H,QWER,2025-10-15,49,47,2,59,59,0,0.0,47,2025-10-15,0,4,0.0,1.0,0.6
Supernatural - NewJeans,Supernatural,NewJeans,2025-08-14,8,6,2,83,83,0,0.0,6,2025-08-14,0,106,0.0,2.070766177615975,0.6
Sweet Night - V,Sweet Night,V,2024-09-07,49,47,2,80,80,0,0.0,47,2024-09-07,0,2,0.0,0.0,0.6
Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack] - Jung Kook & BTS,Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],Jung Kook & BTS,2024-11-20,30,28,2,82,80,-2,-2.4390243902439024,28,2024-11-20,0,1,0.0,0.0,0.6
Taste - Sabrina Carpenter,Taste,Sabrina Carpenter,2025-09-25,43,47,-4,96,96,0,0.0,45,2025-09-29,2,5,0.5,4.0,0.6
Bubble Gum - NewJeans,Bubble Gum,NewJeans,2025-10-02,45,50,-5,75,75,0,0.0,48,2025-10-06,2,13,0.5,1.632993161855452,0.6
Bite Me - ENHYPEN,Bite Me,ENHYPEN,2024-06-14,49,47,2,88,88,0,0.0,47,2024-06-14,0,5,0.0,1.479019945774904,0.6
Love wins all - IU,Love wins all,IU,2025-03-26,36,34,2,80,79,-1,-1.25,34,2025-03-26,0,28,0.0,3.376739087330457,0.6
MILLION DOLLAR BABY - Tommy Richman,MILLION DOLLAR BABY,Tommy Richman,2025-08-14,30,28,2,95,95,0,0.0,28,2025-08-14,0,25,0.0,2.412090756622109,0.6
Magnetic - ILLIT,Magnetic,ILLIT,2025-08-14,15,13,2,88,88,0,0.0,13,2025-08-14,0,106,0.0,2.7890944084142473,0.6
Bam Yang Gang - BIBI,Bam Yang Gang,BIBI,2025-03-26,16,14,2,77,77,0,0.0,14,2025-03-26,0,43,0.0,2.593407367316825,0.6
Cool With You - NewJeans,Cool With You,NewJeans,2024-10-19,50,48,2,85,85,0,0.0,48,2024-10-19,0,1,0.0,0.0,0.6
Love Letter - Lim Young Woong,Love Letter,Lim Young Woong,2025-01-27,50,48,2,58,58,0,0.0,48,2025-01-27,0,12,0.0,0.48989794855663565,0.6
MEOW - MEOVV,MEOW,MEOVV,2025-10-25,47,45,2,76,58,-18,-23.684210526315788,45,2025-10-25,0,2,0.0,0.0,0.6
A bientot - Lim Young Woong,A bientot,Lim Young Woong,2025-03-26,40,38,2,57,56,-1,-1.7543859649122806,38,2025-03-26,0,117,0.0,2.5382881188695783,0.6
Supernova - aespa,Supernova,aespa,2025-08-14,16,14,2,76,76,0,0.0,14,2025-08-14,0,106,0.0,2.648196327121962,0.6
Sweet Night - V,Sweet Night,V,2024-09-04,41,39,2,81,80,-1,-1.2345679012345678,39,2024-09-04,0,5,0.0,5.2493385826745405,0.6
bye - Ariana Grande,bye,Ariana Grande,2025-03-15,34,47,-13,85,87,2,2.3529411764705883,47,2025-03-15,0,1,0.0,0.0,0.5882352941176471
Teddy Bear - STAYC,Teddy Bear,STAYC,2024-05-31,45,48,-3,74,74,0,0.0,46,2024-06-05,2,6,0.4,1.699673171197595,0.5800000000000001
Love Letter - Lim Young Woong,Love Letter,Lim Young Woong,2025-01-22,50,50,0,58,58,0,0.0,48,2025-01-27,2,17,0.4,1.0,0.5800000000000001
Set Me Free Pt.2 - Jimin,Set Me Free Pt.2,Jimin,2025-07-12,7,9,-2,78,78,0,0.0,7,2025-07-17,2,12,0.4,9.119047362163903,0.5800000000000001
To. X - TAEYEON,To. X,TAEYEON,2025-03-26,22,21,1,75,75,0,0.0,20,2025-04-04,1,43,0.1111111111111111,3.0730938510196064,0.5722222222222223
LOVE DIVE - IVE,LOVE DIVE,IVE,2024-05-29,50,49,1,83,83,0,0.0,48,2024-06-19,1,22,0.047619047619047616,0.0,0.5595238095238095
My You - Jung Kook,My You,Jung Kook,2024-07-27,35,49,-14,88,87,-1,-1.1363636363636365,47,2024-08-03,2,67,0.2857142857142857,1.4658650451451907,0.5571428571428572
Espresso - Sabrina Carpenter,Espresso,Sabrina Carpenter,2025-07-12,28,27,1,99,99,0,0.0,26,2025-08-17,1,92,0.027777777777777776,2.881207737163594,0.5555555555555556
I Had Some Help (Feat. Morgan Wallen) - Post Malone & Morgan Wallen,I Had Some Help (Feat. Morgan Wallen),Post Malone & Morgan Wallen,2025-05-23,45,50,-5,93,95,2,2.1505376344086025,50,2025-05-23,0,1,0.0,0.0,0.5376344086021506
