song_id,song,artist,comeback_number,reentry_date,reentry_rank,reentry_popularity,peak_rank,peak_date,retention_days,average_rank,average_popularity,rank_decay,days_to_peak,rank_recovery_speed,rank_stability,first_entry_rank,first_entry_popularity,first_entry_peak_rank,first_entry_retention_days,first_entry_average_rank,first_entry_average_popularity,rank_improvement_vs_first_entry,peak_improvement_vs_first_entry,retention_change_vs_first_entry
Cupid - FIFTY FIFTY,Cupid,FIFTY FIFTY,1,2024-07-09,50,87,42,2024-07-10,4,47.75,87.0,8,1,8.0,3.8622100754188224,16,88,15,48,24.333333333333332,87.83333333333333,-34,-27,-44
Cupid - Twin Ver. - FIFTY FIFTY,Cupid - Twin Ver.,FIFTY FIFTY,1,2024-07-07,43,99,36,2024-07-10,15,42.06666666666667,98.2,9,3,2.3333333333333335,3.2396354880199247,10,97,10,48,19.0,98.29166666666667,-33,-26,-33
Cupid - Twin Ver. - FIFTY FIFTY,Cupid - Twin Ver.,FIFTY FIFTY,2,2024-07-26,49,97,49,2024-07-26,1,49.0,97.0,0,0,0.0,0.0,10,97,10,48,19.0,98.29166666666667,-39,-39,-47
Cupid - Twin Ver. - FIFTY FIFTY,Cupid - Twin Ver.,FIFTY FIFTY,3,2024-08-06,50,96,50,2024-08-06,1,50.0,96.0,0,0,0.0,0.0,10,97,10,48,19.0,98.29166666666667,-40,-40,-47
Cupido - Engel Montaz & Kuv507 & Latinnites Music,Cupido,Engel Montaz & Kuv507 & Latinnites Music,1,2025-01-10,32,70,32,2025-01-10,1,32.0,70.0,0,0,0.0,0.0,25,68,25,3,39.666666666666664,68.66666666666667,-7,-7,-2
DASH - NMIXX,DASH,NMIXX,1,2025-03-02,43,79,40,2025-03-06,11,44.36363636363637,78.45454545454545,10,4,0.75,3.0421284414937935,44,61,20,43,28.651162790697676,77.55813953488372,1,-20,-32
Dance The Night (From Barbie The Album) - Dua Lipa,Dance The Night (From Barbie The Album),Dua Lipa,1,2024-06-09,46,90,46,2024-06-09,1,46.0,90.0,0,0,0.0,0.0,42,86,42,1,42.0,86.0,-4,-4,0
Dance The Night (From Barbie The Album) - Dua Lipa,Dance The Night (From Barbie The Album),Dua Lipa,2,2024-07-26,45,95,41,2024-07-27,3,42.333333333333336,95.33333333333333,0,1,4.0,2.309401076758503,42,86,42,1,42.0,86.0,-3,1,2
Dance The Night (From Barbie The Album) - Dua Lipa,Dance The Night (From Barbie The Album),Dua Lipa,3,2024-07-30,50,96,41,2024-08-06,13,44.23076923076923,96.46153846153847,7,7,1.2857142857142858,2.385855756810896,42,86,42,1,42.0,86.0,-8,1,12
Dangerously - Charlie Puth,Dangerously,Charlie Puth,1,2024-06-04,47,48,44,2024-06-05,5,46.2,54.0,2,1,3.0,1.3038404810405297,43,47,37,16,41.75,47.5,-4,-7,-11
Dangerously - Charlie Puth,Dangerously,Charlie Puth,2,2024-06-13,49,64,49,2024-06-13,1,49.0,64.0,0,0,0.0,0.0,43,47,37,16,41.75,47.5,-6,-12,-15
Dangerously - Charlie Puth,Dangerously,Charlie Puth,3,2024-06-16,44,64,42,2024-06-19,5,46.0,64.0,8,3,0.6666666666666666,3.082207001484488,43,47,37,16,41.75,47.5,-1,-5,-11
Dangerously - Charlie Puth,Dangerously,Charlie Puth,4,2024-07-01,44,65,44,2024-07-01,1,44.0,65.0,0,0,0.0,0.0,43,47,37,16,41.75,47.5,-1,-7,-15
Dare to Love (feat. BIG Naughty) - B.I,Dare to Love (feat. BIG Naughty),B.I,1,2024-07-04,48,64,48,2024-07-04,1,48.0,64.0,0,0,0.0,0.0,49,63,43,7,46.42857142857143,63.714285714285715,1,-5,-6
Discord - QWER,Discord,QWER,1,2024-12-15,44,59,44,2024-12-15,2,47.0,59.0,6,0,0.0,4.242640687119285,49,58,49,3,49.0,58.0,5,5,-1
Ditto - NewJeans,Ditto,NewJeans,1,2024-11-08,43,85,43,2024-11-08,12,45.75,84.33333333333333,6,0,0.0,1.9128750375000738,15,90,12,170,23.558823529411764,87.33529411764705,-28,-31,-158
Ditto - NewJeans,Ditto,NewJeans,2,2024-11-21,47,84,47,2024-11-21,1,47.0,84.0,0,0,0.0,0.0,15,90,12,170,23.558823529411764,87.33529411764705,-32,-35,-169
Ditto - NewJeans,Ditto,NewJeans,3,2024-11-23,50,84,27,2024-12-11,82,37.01219512195122,84.82926829268293,15,18,1.2777777777777777,7.934133016712632,15,90,12,170,23.558823529411764,87.33529411764705,-35,-15,-88
